"kew_id","family","genus","taxon_name","taxonomic_status","accepted_name","accepted_kew_id"
"279966-2","Solanaceae","Lycium","Lycium filifolium","Homotypic_Synonym","Lycium chilense var. filifolium","279963-2"
"146751-2","Solanaceae","Lycium","Lycium filifolium var. minutifolium","Homotypic_Synonym","Lycium chilense var. minutifolium","146718-2"
"146752-2","Solanaceae","Lycium","Lycium fimbriatum","Synonym","Lycium chilense var. chilense","77225834-1"
"816445-1","Solanaceae","Lycium","Lycium flaccidum","Unplaced","",""
"816446-1","Solanaceae","Lycium","Lycium flexicaule","Accepted","",""
"816447-1","Solanaceae","Lycium","Lycium floribundum","Synonym","Iochroma arborescens","77186334-1"
"816448-1","Solanaceae","Lycium","Lycium floribundum","Synonym","Lycium tenuispinosum var. tenuispinosum","77225600-1"
"146754-2","Solanaceae","Lycium","Lycium floribundum var. ciliatum","Synonym","Lycium ciliatum","816391-1"
"289487-2","Solanaceae","Lycium","Lycium floribundum var. confertum","Homotypic_Synonym","Lycium confertum","816398-1"
"289485-2","Solanaceae","Lycium","Lycium floribundum var. elongatum","Synonym","Lycium confertum","816398-1"
"289484-2","Solanaceae","Lycium","Lycium floribundum var. gilliesianum","Synonym","Lycium gilliesianum","816461-1"
"289469-2","Solanaceae","Lycium","Lycium floribundum var. grisebachii","Synonym","Lycium ciliatum","816391-1"
"146755-2","Solanaceae","Lycium","Lycium floribundum var. infaustum","Synonym","Lycium tenuispinosum var. tenuispinosum","77225600-1"
"146756-2","Solanaceae","Lycium","Lycium floribundum var. normale","Synonym","Lycium tenuispinosum var. tenuispinosum","77225600-1"
"289483-2","Solanaceae","Lycium","Lycium floribundum var. pruinosum","Synonym","Lycium americanum","816336-1"
"289481-2","Solanaceae","Lycium","Lycium floribundum subvar. puberulum","Synonym","Lycium tenuispinosum var. tenuispinosum","77225600-1"
"289480-2","Solanaceae","Lycium","Lycium floribundum var. tenuispinosum","Synonym","Lycium tenuispinosum var. tenuispinosum","77225600-1"
"816449-1","Solanaceae","Lycium","Lycium floridum","Synonym","Lycium barbarum var. barbarum","77224962-1"
"816450-1","Solanaceae","Lycium","Lycium foetidum","Synonym","",""
"816451-1","Solanaceae","Lycium","Lycium foliosum","Synonym","Lycium ruthenicum","816609-1"
"816452-1","Solanaceae","Lycium","Lycium fragosum","Synonym","Lycium stenophyllum","816647-1"
"816453-1","Solanaceae","Lycium","Lycium fremontii","Accepted","",""
"290590-2","Solanaceae","Lycium","Lycium fremontii var. bigelovii","Synonym","Lycium exsertum","816440-1"
"289764-2","Solanaceae","Lycium","Lycium fremontii var. congestum","Synonym","Lycium fremontii","816453-1"
"146758-2","Solanaceae","Lycium","Lycium fremontii var. gracilipes","Synonym","Lycium fremontii","816453-1"
"146759-2","Solanaceae","Lycium","Lycium fremontii subsp. viscidum","Synonym","Lycium fremontii","816453-1"
"146760-2","Solanaceae","Lycium","Lycium friesii","Homotypic_Synonym","Lycium tenuispinosum var. friesii","146866-2"
"816456-1","Solanaceae","Lycium","Lycium fuchsioides","Homotypic_Synonym","Iochroma fuchsioides","815977-1"
"816455-1","Solanaceae","Lycium","Lycium fuchsioides","Synonym","Cestrum aurantiacum","814910-1"
"816457-1","Solanaceae","Lycium","Lycium fuscum","Accepted","",""
"70029350-1","Solanaceae","Lycium","Lycium gariepense","Accepted","",""
"816458-1","Solanaceae","Lycium","Lycium gelidum","Synonym","Lycium chilense var. chilense","77225834-1"
"146761-2","Solanaceae","Lycium","Lycium geniculatum","Accepted","",""
"146762-2","Solanaceae","Lycium","Lycium gesnerioides","Homotypic_Synonym","Iochroma gesnerioides","815978-1"
"816461-1","Solanaceae","Lycium","Lycium gilliesianum","Accepted","",""
"146763-2","Solanaceae","Lycium","Lycium gilliesianum var. fuscum","Synonym","Lycium fuscum","816457-1"
"146764-2","Solanaceae","Lycium","Lycium gilliesianum var. longitubum","Synonym","Lycium gilliesianum","816461-1"
"146765-2","Solanaceae","Lycium","Lycium gilliesianum var. ruiz-lealii","Synonym","Lycium gilliesianum","816461-1"
"816462-1","Solanaceae","Lycium","Lycium glandulosissimum","Synonym","Lycium pilifolium","816581-1"
"816463-1","Solanaceae","Lycium","Lycium glaucum","Synonym","Lycium ruthenicum","816609-1"
"816464-1","Solanaceae","Lycium","Lycium glaucum","Synonym","Lycium boerhaviifolium","816365-1"
"816465-1","Solanaceae","Lycium","Lycium glomeratum","Accepted","",""
"816466-1","Solanaceae","Lycium","Lycium glossophyllum","Synonym","Lycium bosciifolium","816366-1"
"816467-1","Solanaceae","Lycium","Lycium gracile","Synonym","Lycium chilense var. glaberrimum","289246-2"
"146769-2","Solanaceae","Lycium","Lycium graciliflorum","Synonym","Lycium glomeratum","816465-1"
"816469-1","Solanaceae","Lycium","Lycium gracilipes","Synonym","Lycium fremontii","816453-1"
"937996-1","Solanaceae","Lycium","Lycium grandicalyx","Accepted","",""
"816470-1","Solanaceae","Lycium","Lycium grandiflorum","Synonym","Iochroma arborescens","77186334-1"
"816471-1","Solanaceae","Lycium","Lycium grandifolium","Synonym","Iochroma arborescens","77186334-1"
"816472-1","Solanaceae","Lycium","Lycium grevilleanum","Synonym","Lycium chilense var. chilense","77225834-1"
"816473-1","Solanaceae","Lycium","Lycium griseolum","Unplaced","",""
"816474-1","Solanaceae","Lycium","Lycium guayaquilense","Synonym","Iochroma arborescens","77186334-1"
"816475-1","Solanaceae","Lycium","Lycium halimifolium","Synonym","Lycium barbarum var. barbarum","77224962-1"
"816476-1","Solanaceae","Lycium","Lycium halophilum","Synonym","Lycium infaustum","816496-1"
"816478-1","Solanaceae","Lycium","Lycium halophyllum","Unplaced","",""
"77080910-1","Solanaceae","Lycium","Lycium hantamense","Accepted","",""
"290563-2","Solanaceae","Lycium","Lycium hassei","Homotypic_Synonym","Lycium brevipes var. hassei","146696-2"
"146771-2","Solanaceae","Lycium","Lycium herzogii","Synonym","Eriolarynx fasciculata","1016241-1"
"816481-1","Solanaceae","Lycium","Lycium heterophyllum","Synonym","Lycium boerhaviifolium","816365-1"
"146772-2","Solanaceae","Lycium","Lycium hieronymi","Unplaced","",""
"816483-1","Solanaceae","Lycium","Lycium hirsutum","Accepted","",""
"146773-2","Solanaceae","Lycium","Lycium hitchcockii","Unplaced","",""
"146774-2","Solanaceae","Lycium","Lycium horridum","Synonym","Iochroma parvifolium","974603-1"
"816485-1","Solanaceae","Lycium","Lycium horridum","Accepted","",""
"816486-1","Solanaceae","Lycium","Lycium horridum","Synonym","Lycium minutifolium","816540-1"
"816488-1","Solanaceae","Lycium","Lycium humile","Accepted","",""
"146776-2","Solanaceae","Lycium","Lycium hunzikeri","Synonym","Lycium chilense var. chilense","77225834-1"
"816490-1","Solanaceae","Lycium","Lycium ignarum","Synonym","Lycium ciliatum","816391-1"
"816492-1","Solanaceae","Lycium","Lycium implexum","Synonym","Lycium minutifolium","816540-1"
"816494-1","Solanaceae","Lycium","Lycium indicum","Synonym","Lycium edgeworthii","816424-1"
"816493-1","Solanaceae","Lycium","Lycium indicum","Unplaced","",""
"816495-1","Solanaceae","Lycium","Lycium inerme","Homotypic_Synonym","Canthium inerme","745470-1"
"816496-1","Solanaceae","Lycium","Lycium infaustum","Accepted","",""
"816497-1","Solanaceae","Lycium","Lycium intricatum","Accepted","",""
"77225741-1","Solanaceae","Lycium","Lycium intricatum subsp. intricatum","Accepted","",""
"77251131-1","Solanaceae","Lycium","Lycium intricatum subsp. pujosii","Accepted","",""
"146779-2","Solanaceae","Lycium","Lycium isthmense","Accepted","",""
"816499-1","Solanaceae","Lycium","Lycium italicum","Synonym","Lycium afrum","816326-1"
"816500-1","Solanaceae","Lycium","Lycium jaegeri","Synonym","Lycium shawii","816629-1"
"816502-1","Solanaceae","Lycium","Lycium japonicum","Homotypic_Synonym","",""
"816503-1","Solanaceae","Lycium","Lycium javellense","Synonym","Lycium shawii","816629-1"
"146780-2","Solanaceae","Lycium","Lycium johnstonii","Synonym","Lycium americanum","816336-1"
"816505-1","Solanaceae","Lycium","Lycium karasbergense","Synonym","Lycium pumilum","816594-1"
"816506-1","Solanaceae","Lycium","Lycium kopetdaghi","Accepted","",""
"816507-1","Solanaceae","Lycium","Lycium kraussii","Synonym","Lycium horridum","816485-1"
"816509-1","Solanaceae","Lycium","Lycium lancifolium","Synonym","Lycium eenii","816425-1"
"816510-1","Solanaceae","Lycium","Lycium lasiopetalum","Synonym","Lycium chilense var. chilense","77225834-1"
"146782-2","Solanaceae","Lycium","Lycium leiospermum","Accepted","",""
"816513-1","Solanaceae","Lycium","Lycium leiostemum","Accepted","",""
