"Taxon","Genus","Hybrid.marker","Species","Abbrev","Infraspecific.rank","Infraspecific","Authority","ID","Plant.Name.Index","TPL.version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","New.ID","New.Taxonomic.status","Typo","WFormat","Higher.level","Date"
"Lycium californicum","Lycium","","californicum",NA,NA,"","","tro-29600028",TRUE,"1.1","Accepted","Solanaceae","Lycium","","californicum","","","A. Gray","tro-29600028","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium carinatum","Lycium","","carinatum",NA,NA,"","","tro-50146263",TRUE,"1.1","Accepted","Solanaceae","Lycium","","carinatum","","","S. Watson","tro-50146263","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium carolinianum","Lycium","","carolinianum",NA,NA,"","","tro-29600032",TRUE,"1.1","Accepted","Solanaceae","Lycium","","carolinianum","","","Walter","tro-29600032","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium carolinianum var. quadrifidum","Lycium","","carolinianum",NA,"var.","quadrifidum","","tro-29600033",TRUE,"1.1","Accepted","Solanaceae","Lycium","","carolinianum","var.","quadrifidum","(Moc. & Sessé ex Dunal) C.L. Hitchc.","tro-29600033","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium cestroides","Lycium","","cestroides",NA,NA,"","","tro-29600034",TRUE,"1.1","Accepted","Solanaceae","Lycium","","cestroides","","","Schltdl.","tro-29600034","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium chanar","Lycium","","chanar",NA,NA,"","","tro-29603941",TRUE,"1.1","Accepted","Solanaceae","Lycium","","chanar","","","Phil.","tro-29603941","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium chilense","Lycium","","chilense",NA,NA,"","","tro-29600035",TRUE,"1.1","Accepted","Solanaceae","Lycium","","chilense","","","Bertero","tro-29600035","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium chinense","Lycium","","chinense",NA,NA,"","","kew-2496344",TRUE,"1.1","Accepted","Solanaceae","Lycium","","chinense","","","Mill.","kew-2496344","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium chinense var. potaninii","Lycium","","chinense",NA,"var.","potaninii","","kew-2496316",TRUE,"1.1","Accepted","Solanaceae","Lycium","","chinense","var.","potaninii","(Pojark.) A.M.Lu","kew-2496316","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium ciliatum","Lycium","","ciliatum",NA,NA,"","","tro-50065691",TRUE,"1.1","Accepted","Solanaceae","Lycium","","ciliatum","","","Schltdl.","tro-50065691","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium cinereum","Lycium","","cinereum",NA,NA,"","","tro-29603782",TRUE,"1.1","Accepted","Solanaceae","Lycium","","cinereum","","","Thunb.","tro-29603782","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium cooperi","Lycium","","cooperi",NA,NA,"","","tro-29600038",TRUE,"1.1","Accepted","Solanaceae","Lycium","","cooperi","","","A. Gray","tro-29600038","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium cuneatum","Lycium","","cuneatum",NA,NA,"","","tro-29600039",TRUE,"1.1","Accepted","Solanaceae","Lycium","","cuneatum","","","Dammer","tro-29600039","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium cyathiformum","Lycium","","cyathiformum",NA,NA,"","","tro-29605854",TRUE,"1.1","Accepted","Solanaceae","Lycium","","cyathiformum","","","C.L. Hitchc.","tro-29605854","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium cylindricum","Lycium","","cylindricum",NA,NA,"","","tro-29604666",TRUE,"1.1","Accepted","Solanaceae","Lycium","","cylindricum","","","Kuang & A. M. Lu","tro-29604666","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium dasystemum","Lycium","","dasystemum",NA,NA,"","","tro-29604618",TRUE,"1.1","Accepted","Solanaceae","Lycium","","dasystemum","","","Pojark.","tro-29604618","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium decumbens","Lycium","","decumbens",NA,NA,"","","kew-2496307",TRUE,"1.1","Accepted","Solanaceae","Lycium","","decumbens","","","Welw. ex Hiern","kew-2496307","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium densifolium","Lycium","","densifolium",NA,NA,"","","tro-50146264",TRUE,"1.1","Accepted","Solanaceae","Lycium","","densifolium","","","Wiggins","tro-50146264","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium depressum","Lycium","","depressum",NA,NA,"","","kew-2496701",TRUE,"1.1","Accepted","Solanaceae","Lycium","","depressum","","","Stocks","kew-2496701","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium deserti","Lycium","","deserti",NA,NA,"","","kew-2496699",TRUE,"1.1","Accepted","Solanaceae","Lycium","","deserti","","","Phil.","kew-2496699","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium dispermum","Lycium","","dispermum",NA,NA,"","","tro-50146262",TRUE,"1.1","Accepted","Solanaceae","Lycium","","dispermum","","","Wiggins","tro-50146262","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium distichum","Lycium","","distichum",NA,NA,"","","tro-29600870",TRUE,"1.1","Accepted","Solanaceae","Lycium","","distichum","","","Meyen","tro-29600870","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium divaricatum","Lycium","","divaricatum",NA,NA,"","","tro-29603218",TRUE,"1.1","Accepted","Solanaceae","Lycium","","divaricatum","","","Rusby","tro-29603218","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium edgeworthii","Lycium","","edgeworthii",NA,NA,"","","tro-50324984",TRUE,"1.1","Accepted","Solanaceae","Lycium","","edgeworthii","","","Miers","tro-50324984","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium eenii","Lycium","","eenii",NA,NA,"","","tro-29603799",TRUE,"1.1","Accepted","Solanaceae","Lycium","","eenii","","","S. Moore","tro-29603799","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium elongatum","Lycium","","elongatum",NA,NA,"","","tro-29600011",TRUE,"1.1","Accepted","Solanaceae","Lycium","","elongatum","","","Miers","tro-29600011","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium europaeum","Lycium","","europaeum",NA,NA,"","","kew-2496714",TRUE,"1.1","Accepted","Solanaceae","Lycium","","europaeum","","","L.","kew-2496714","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium exsertum","Lycium","","exsertum",NA,NA,"","","tro-29600044",TRUE,"1.1","Accepted","Solanaceae","Lycium","","exsertum","","","A. Gray","tro-29600044","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium ferocissimum","Lycium","","ferocissimum",NA,NA,"","","kew-2496709",TRUE,"1.1","Accepted","Solanaceae","Lycium","","ferocissimum","","","Miers","kew-2496709","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium fremontii","Lycium","","fremontii",NA,NA,"","","tro-29600045",TRUE,"1.1","Accepted","Solanaceae","Lycium","","fremontii","","","A. Gray","tro-29600045","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium fuscum","Lycium","","fuscum",NA,NA,"","","tro-29600047",TRUE,"1.1","Accepted","Solanaceae","Lycium","","fuscum","","","Miers","tro-29600047","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium gilliesianum","Lycium","","gilliesianum",NA,NA,"","","tro-29600048",TRUE,"1.1","Accepted","Solanaceae","Lycium","","gilliesianum","","","Miers","tro-29600048","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium glomeratum","Lycium","","glomeratum",NA,NA,"","","tro-29600874",TRUE,"1.1","Accepted","Solanaceae","Lycium","","glomeratum","","","Sendtn.","tro-29600874","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium hassei","Lycium","","hassei",NA,NA,"","","tro-50090370",TRUE,"1.1","Accepted","Solanaceae","Lycium","","hassei","","","Greene","tro-50090370","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium hirsutum","Lycium","","hirsutum",NA,NA,"","","tro-29603804",TRUE,"1.1","Accepted","Solanaceae","Lycium","","hirsutum","","","Dunal","tro-29603804","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium horridum","Lycium","","horridum",NA,NA,"","","kew-2496774",TRUE,"1.1","Accepted","Solanaceae","Lycium","","horridum","","","Thunb.","kew-2496774","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium humile","Lycium","","humile",NA,NA,"","","tro-29603942",TRUE,"1.1","Accepted","Solanaceae","Lycium","","humile","","","Phil.","tro-29603942","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium infaustum","Lycium","","infaustum",NA,NA,"","","tro-29605038",TRUE,"1.1","Accepted","Solanaceae","Lycium","","infaustum","","","Miers","tro-29605038","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium intricatum","Lycium","","intricatum",NA,NA,"","","kew-2496762",TRUE,"1.1","Accepted","Solanaceae","Lycium","","intricatum","","","Boiss.","kew-2496762","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium isthmense","Lycium","","isthmense",NA,NA,"","","tro-29600053",TRUE,"1.1","Accepted","Solanaceae","Lycium","","isthmense","","","F. Chiang","tro-29600053","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium leiostemum","Lycium","","leiostemum",NA,NA,"","","kew-2496783",TRUE,"1.1","Accepted","Solanaceae","Lycium","","leiostemum","","","Wedd.","kew-2496783","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium macrodon","Lycium","","macrodon",NA,NA,"","","tro-29600054",TRUE,"1.1","Accepted","Solanaceae","Lycium","","macrodon","","","A. Gray","tro-29600054","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium makranicum","Lycium","","makranicum",NA,NA,"","","tro-50179966",TRUE,"1.1","Accepted","Solanaceae","Lycium","","makranicum","","","Schonebeck-Temesy","tro-50179966","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium martii","Lycium","","martii",NA,NA,"","","tro-29600882",TRUE,"1.1","Accepted","Solanaceae","Lycium","","martii","","","Sendtn.","tro-29600882","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium mascarenense","Lycium","","mascarenense",NA,NA,"","","tro-50166091",TRUE,"1.1","Accepted","Solanaceae","Lycium","","mascarenense","","","A.M. Venter & A.J. Scott","tro-50166091","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium megacarpum","Lycium","","megacarpum",NA,NA,"","","tro-50146265",TRUE,"1.1","Accepted","Solanaceae","Lycium","","megacarpum","","","Wiggins","tro-50146265","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium minimum","Lycium","","minimum",NA,NA,"","","tro-29600056",TRUE,"1.1","Accepted","Solanaceae","Lycium","","minimum","","","C.L. Hitchc.","tro-29600056","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium minutifolium","Lycium","","minutifolium",NA,NA,"","","tro-29600885",TRUE,"1.1","Accepted","Solanaceae","Lycium","","minutifolium","","","Remy","tro-29600885","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium morongii","Lycium","","morongii",NA,NA,"","","tro-29600057",TRUE,"1.1","Accepted","Solanaceae","Lycium","","morongii","","","Britton","tro-29600057","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium nodosum","Lycium","","nodosum",NA,NA,"","","tro-29600058",TRUE,"1.1","Accepted","Solanaceae","Lycium","","nodosum","","","Miers","tro-29600058","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium oxycarpum","Lycium","","oxycarpum",NA,NA,"","","kew-2496538",TRUE,"1.1","Accepted","Solanaceae","Lycium","","oxycarpum","","","Dunal","kew-2496538","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium pallidum","Lycium","","pallidum",NA,NA,"","","tro-29600060",TRUE,"1.1","Accepted","Solanaceae","Lycium","","pallidum","","","Miers","tro-29600060","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium parishii","Lycium","","parishii",NA,NA,"","","tro-29600062",TRUE,"1.1","Accepted","Solanaceae","Lycium","","parishii","","","A. Gray","tro-29600062","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium parishii var. modestum","Lycium","","parishii",NA,"var.","modestum","","tro-29600063",TRUE,"1.1","Accepted","Solanaceae","Lycium","","parishii","var.","modestum","(I.M. Johnst.) F. Chiang","tro-29600063","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium pilifolium","Lycium","","pilifolium",NA,NA,"","","tro-29603809",TRUE,"1.1","Accepted","Solanaceae","Lycium","","pilifolium","","","C.H. Wright","tro-29603809","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium prunus-spinosa","Lycium","","prunus-spinosa",NA,NA,"","","",FALSE,"1.1","","","Lycium","","prunus-spinosa",NA,"","","","",FALSE,FALSE,FALSE,2018-11-01
"Lycium puberulum","Lycium","","puberulum",NA,NA,"","","tro-29600065",TRUE,"1.1","Accepted","Solanaceae","Lycium","","puberulum","","","A. Gray","tro-29600065","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium pumilum","Lycium","","pumilum",NA,NA,"","","tro-29603793",TRUE,"1.1","Accepted","Solanaceae","Lycium","","pumilum","","","Dammer","tro-29603793","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium rachidocladum","Lycium","","rachidocladum",NA,NA,"","","tro-29600891",TRUE,"1.1","Accepted","Solanaceae","Lycium","","rachidocladum","","","Dunal","tro-29600891","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium repens","Lycium","","repens",NA,NA,"","","tro-29605737",TRUE,"1.1","Accepted","Solanaceae","Lycium","","repens","","","Speg.","tro-29605737","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium richii","Lycium","","richii",NA,NA,"","","tro-29600067",TRUE,"1.1","Accepted","Solanaceae","Lycium","","richii","","","A. Gray","tro-29600067","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium ruthenicum","Lycium","","ruthenicum",NA,NA,"","","kew-2496529",TRUE,"1.1","Accepted","Solanaceae","Lycium","","ruthenicum","","","Murray","kew-2496529","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium sandwicense","Lycium","","sandwicense",NA,NA,"","","tro-29600069",TRUE,"1.1","Accepted","Solanaceae","Lycium","","sandwicense","","","A. Gray","tro-29600069","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium schizocalyx","Lycium","","schizocalyx",NA,NA,"","","tro-29603815",TRUE,"1.1","Accepted","Solanaceae","Lycium","","schizocalyx","","","C.H. Wright","tro-29603815","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium schweinfurthii","Lycium","","schweinfurthii",NA,NA,"","","kew-2496523",TRUE,"1.1","Accepted","Solanaceae","Lycium","","schweinfurthii","","","Dammer","kew-2496523","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium shawii","Lycium","","shawii",NA,NA,"","","kew-2496628",TRUE,"1.1","Accepted","Solanaceae","Lycium","","shawii","","","Roem. & Schult.","kew-2496628","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium shockleyi","Lycium","","shockleyi",NA,NA,"","","tro-29602508",TRUE,"1.1","Accepted","Solanaceae","Lycium","","shockleyi","","","A. Gray","tro-29602508","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium stenophyllum","Lycium","","stenophyllum",NA,NA,"","","tro-29600892",TRUE,"1.1","Accepted","Solanaceae","Lycium","","stenophyllum","","","J. Rémy","tro-29600892","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium strandveldense","Lycium","","strandveldense",NA,NA,"","","tro-50258083",TRUE,"1.1","Accepted","Solanaceae","Lycium","","strandveldense","","","A.M. Venter","tro-50258083","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium tenuispinosum","Lycium","","tenuispinosum",NA,NA,"","","tro-29600070",TRUE,"1.1","Accepted","Solanaceae","Lycium","","tenuispinosum","","","S.B. Jones & W.Z. Faust","tro-29600070","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium tenuispinosum var. friesii","Lycium","","tenuispinosum",NA,"var.","friesii","","tro-29605858",TRUE,"1.1","Accepted","Solanaceae","Lycium","","tenuispinosum","var.","friesii","(Dammer) C.H. Hitchc.","tro-29605858","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium tetrandrum","Lycium","","tetrandrum",NA,NA,"","","kew-2496591",TRUE,"1.1","Accepted","Solanaceae","Lycium","","tetrandrum","","","Thunb.","kew-2496591","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium texanum","Lycium","","texanum",NA,NA,"","","tro-29602509",TRUE,"1.1","Accepted","Solanaceae","Lycium","","texanum","","","Correll","tro-29602509","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium torreyi","Lycium","","torreyi",NA,NA,"","","tro-29600074",TRUE,"1.1","Accepted","Solanaceae","Lycium","","torreyi","","","A. Gray","tro-29600074","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium truncatum","Lycium","","truncatum",NA,NA,"","","tro-29604660",TRUE,"1.1","Accepted","Solanaceae","Lycium","","truncatum","","","Y.C. Wang","tro-29604660","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium tweedianum","Lycium","","tweedianum",NA,NA,"","","tro-29602510",TRUE,"1.1","Accepted","Solanaceae","Lycium","","tweedianum","","","Griseb.","tro-29602510","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium verrucosum","Lycium","","verrucosum",NA,NA,"","","tro-29602512",TRUE,"1.1","Accepted","Solanaceae","Lycium","","verrucosum","","","Eastw.","tro-29602512","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium villosum","Lycium","","villosum",NA,NA,"","","tro-29603817",TRUE,"1.1","Accepted","Solanaceae","Lycium","","villosum","","","Schinz","tro-29603817","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium vimineum","Lycium","","vimineum",NA,NA,"","","tro-29606128",TRUE,"1.1","Accepted","Solanaceae","Lycium","","vimineum","","","Miers","tro-29606128","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium woodii","Lycium","","woodii",NA,NA,"","","tro-29603818",TRUE,"1.1","Accepted","Solanaceae","Lycium","","woodii","","","Dammer","tro-29603818","Accepted",FALSE,FALSE,FALSE,2018-11-01
"Lycium yunnanense","Lycium","","yunnanense",NA,NA,"","","tro-29604679",TRUE,"1.1","Accepted","Solanaceae","Lycium","","yunnanense","","","Kuang & A.M. Lu","tro-29604679","Accepted",FALSE,FALSE,FALSE,2018-11-01
