Taxon,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date
Lycium macrodon,Lycium,,macrodon,NA,NA,,,tro-29600054,TRUE,1.1,Accepted,Solanaceae,Lycium,,macrodon,,,A. Gray,tro-29600054,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium mascarenense,Lycium,,mascarenense,NA,NA,,,tro-50166091,TRUE,1.1,Accepted,Solanaceae,Lycium,,mascarenense,,,A.M. Venter & A.J. Scott,tro-50166091,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium minimum,Lycium,,minimum,NA,NA,,,tro-29600056,TRUE,1.1,Accepted,Solanaceae,Lycium,,minimum,,,C.L. Hitchc.,tro-29600056,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium minutifolium,Lycium,,minutifolium,NA,NA,,,tro-29600885,TRUE,1.1,Accepted,Solanaceae,Lycium,,minutifolium,,,Remy,tro-29600885,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium morongii,Lycium,,morongii,NA,NA,,,tro-29600057,TRUE,1.1,Accepted,Solanaceae,Lycium,,morongii,,,Britton,tro-29600057,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium nodosum,Lycium,,nodosum,NA,NA,,,tro-29600058,TRUE,1.1,Accepted,Solanaceae,Lycium,,nodosum,,,Miers,tro-29600058,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium oxycarpum,Lycium,,oxycarpum,NA,NA,,,kew-2496538,TRUE,1.1,Accepted,Solanaceae,Lycium,,oxycarpum,,,Dunal,kew-2496538,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium pallidum,Lycium,,pallidum,NA,NA,,,tro-29600060,TRUE,1.1,Accepted,Solanaceae,Lycium,,pallidum,,,Miers,tro-29600060,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium parishii,Lycium,,parishii,NA,NA,,,tro-29600062,TRUE,1.1,Accepted,Solanaceae,Lycium,,parishii,,,A. Gray,tro-29600062,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium pilifolium,Lycium,,pilifolium,NA,NA,,,tro-29603809,TRUE,1.1,Accepted,Solanaceae,Lycium,,pilifolium,,,C.H. Wright,tro-29603809,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium puberulum,Lycium,,puberulum,NA,NA,,,tro-29600065,TRUE,1.1,Accepted,Solanaceae,Lycium,,puberulum,,,A. Gray,tro-29600065,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium pumilum,Lycium,,pumilum,NA,NA,,,tro-29603793,TRUE,1.1,Accepted,Solanaceae,Lycium,,pumilum,,,Dammer,tro-29603793,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium rachidocladum,Lycium,,rachidocladum,NA,NA,,,tro-29600891,TRUE,1.1,Accepted,Solanaceae,Lycium,,rachidocladum,,,Dunal,tro-29600891,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium ruthenicum,Lycium,,ruthenicum,NA,NA,,,kew-2496529,TRUE,1.1,Accepted,Solanaceae,Lycium,,ruthenicum,,,Murray,kew-2496529,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium sandwicense,Lycium,,sandwicense,NA,NA,,,tro-29600069,TRUE,1.1,Accepted,Solanaceae,Lycium,,sandwicense,,,A. Gray,tro-29600069,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium schizocalyx,Lycium,,schizocalyx,NA,NA,,,tro-29603815,TRUE,1.1,Accepted,Solanaceae,Lycium,,schizocalyx,,,C.H. Wright,tro-29603815,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium schweinfurthii,Lycium,,schweinfurthii,NA,NA,,,kew-2496523,TRUE,1.1,Accepted,Solanaceae,Lycium,,schweinfurthii,,,Dammer,kew-2496523,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium shawii,Lycium,,shawii,NA,NA,,,kew-2496628,TRUE,1.1,Accepted,Solanaceae,Lycium,,shawii,,,Roem. & Schult.,kew-2496628,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium shockleyi,Lycium,,shockleyi,NA,NA,,,tro-29602508,TRUE,1.1,Accepted,Solanaceae,Lycium,,shockleyi,,,A. Gray,tro-29602508,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium stenophyllum,Lycium,,stenophyllum,NA,NA,,,tro-29600892,TRUE,1.1,Accepted,Solanaceae,Lycium,,stenophyllum,,,J. Rémy,tro-29600892,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium strandveldense,Lycium,,strandveldense,NA,NA,,,tro-50258083,TRUE,1.1,Accepted,Solanaceae,Lycium,,strandveldense,,,A.M. Venter,tro-50258083,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium tenuispinosum,Lycium,,tenuispinosum,NA,NA,,,tro-29600070,TRUE,1.1,Accepted,Solanaceae,Lycium,,tenuispinosum,,,S.B. Jones & W.Z. Faust,tro-29600070,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium tetrandrum,Lycium,,tetrandrum,NA,NA,,,kew-2496591,TRUE,1.1,Accepted,Solanaceae,Lycium,,tetrandrum,,,Thunb.,kew-2496591,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium texanum,Lycium,,texanum,NA,NA,,,tro-29602509,TRUE,1.1,Accepted,Solanaceae,Lycium,,texanum,,,Correll,tro-29602509,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium torreyi,Lycium,,torreyi,NA,NA,,,tro-29600074,TRUE,1.1,Accepted,Solanaceae,Lycium,,torreyi,,,A. Gray,tro-29600074,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium truncatum,Lycium,,truncatum,NA,NA,,,tro-29604660,TRUE,1.1,Accepted,Solanaceae,Lycium,,truncatum,,,Y.C. Wang,tro-29604660,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium villosum,Lycium,,villosum,NA,NA,,,tro-29603817,TRUE,1.1,Accepted,Solanaceae,Lycium,,villosum,,,Schinz,tro-29603817,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium vimineum,Lycium,,vimineum,NA,NA,,,tro-29606128,TRUE,1.1,Accepted,Solanaceae,Lycium,,vimineum,,,Miers,tro-29606128,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium yunnanense,Lycium,,yunnanense,NA,NA,,,tro-29604679,TRUE,1.1,Accepted,Solanaceae,Lycium,,yunnanense,,,Kuang & A.M. Lu,tro-29604679,Accepted,FALSE,FALSE,FALSE,11/29/2018
Nolana coelestis,Nolana,,coelestis,NA,NA,,,tro-50294179,TRUE,1.1,Accepted,Solanaceae,Nolana,,coelestis,,,Miers ex Dunal,tro-50294179,Accepted,FALSE,FALSE,FALSE,11/29/2018
Nolana werdermannii,Nolana,,werdermannii,NA,NA,,,tro-22400026,TRUE,1.1,Accepted,Solanaceae,Nolana,,werdermannii,,,I.M. Johnst.,tro-22400026,Accepted,FALSE,FALSE,FALSE,11/29/2018
Phrodus microphyllus,Phrodus,,microphyllus,NA,NA,,,tro-29600998,TRUE,1.1,Accepted,Solanaceae,Phrodus,,microphyllus,,,(Miers) Miers,tro-29600998,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium arenicola,Lycium,,arenicola,NA,NA,,,tro-29603783,TRUE,1.1,Synonym,Solanaceae,Lycium,,cinereum,,,Thunb.,tro-29603782,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium tenue,Lycium,,tenue,NA,NA,,,tro-29603795,TRUE,1.1,Synonym,Solanaceae,Lycium,,acutifolium,,,E. Mey. ex Dunal,tro-29603771,Accepted,FALSE,FALSE,FALSE,11/29/2018
Lycium amoenum,Lycium,,amoenum,NA,NA,,,kew-2496347,TRUE,1.1,Unresolved,Solanaceae,Lycium,,amoenum,,,Dammer,kew-2496347,Unresolved,FALSE,FALSE,FALSE,11/29/2018
Lycium athium,Lycium,,athium,NA,NA,,,kew-2499025,TRUE,1.1,Unresolved,Solanaceae,Lycium,,athium,,,Bernardello,kew-2499025,Unresolved,FALSE,FALSE,FALSE,11/29/2018
Lycium australe,Lycium,,australe,NA,NA,,,kew-2499024,TRUE,1.1,Unresolved,Solanaceae,Lycium,,australe,,,F.Muell.,kew-2499024,Unresolved,FALSE,FALSE,FALSE,11/29/2018
Lycium gariepense,Lycium,,gariepense,NA,NA,,,kew-2496665,TRUE,1.1,Unresolved,Solanaceae,Lycium,,gariepense,,,A.M.Venter,kew-2496665,Unresolved,FALSE,FALSE,FALSE,11/29/2018
Lycium grandicalyx,Lycium,,grandicalyx,NA,NA,,,kew-2496679,TRUE,1.1,Unresolved,Solanaceae,Lycium,,grandicalyx,,,Joubert & Venter,kew-2496679,Unresolved,FALSE,FALSE,FALSE,11/29/2018
Lycium leiospermum,Lycium,,leiospermum,NA,NA,,,kew-2496784,TRUE,1.1,Unresolved,Solanaceae,Lycium,,leiospermum,,,I.M.Johnst.,kew-2496784,Unresolved,FALSE,FALSE,FALSE,11/29/2018
Lycium qingshuiheense,Lycium,,qingshuiheense,NA,NA,,,kew-2902968,TRUE,1.1,Unresolved,Solanaceae,Lycium,,qingshuigeense,,,Xu L.Jiang & J.N.Li,kew-2902968,Unresolved,TRUE,FALSE,FALSE,11/29/2018
Lycium amarum,Lycium,,amarum,NA,NA,,,,FALSE,1.1,,,Lycium,,amarum,NA,,,,,FALSE,FALSE,FALSE,11/29/2018
Lycium prunus-spinosa,Lycium,,prunus-spinosa,NA,NA,,,,FALSE,1.1,,,Lycium,,prunus-spinosa,NA,,,,,FALSE,FALSE,FALSE,11/29/2018
